description,amount,category
Vodafone Downtown,282.03,Utilities
Walmart Downtown,275.59,Groceries
Target Store,221.73,Groceries
Spotify,146.49,Entertainment
Pizza Hut Store,468.33,Coffee/Dining
Parking Fee Online,284.09,Transportation
Amazon - Purchase,96.64,Shopping
Gaming Store #123,158.65,Entertainment
Lunch,400.09,Coffee/Dining
Costco Store,195.76,Groceries
Dunkin Donuts #123,387.42,Coffee/Dining
H&M Store,247.81,Shopping
Metro Card Store,175.86,Transportation
Yoga Studio - Purchase,381.4,Fitness
Electric Bill Store,460.9,Utilities
Gas Bill Online,340.18,Utilities
H&M,493.8,Shopping
Myntra #123,402.51,Shopping
Apollo Pharmacy Store,115.58,Healthcare
Lyft - Purchase,95.73,Transportation
Costco #123,421.44,Groceries
Gas Bill,371.95,Utilities
Medical Center Downtown,164.81,Healthcare
Internet Bill Downtown,8.27,Utilities
McDonalds - Purchase,378.46,Coffee/Dining
Chipotle - Purchase,435.57,Coffee/Dining
School Fee,51.01,Education
Water Bill Downtown,90.0,Utilities
Myntra Downtown,350.6,Shopping
Yoga Studio #123,128.33,Fitness
Supermarket #123,273.95,Groceries
PVR Cinemas Downtown,261.27,Entertainment
Netflix Downtown,217.3,Entertainment
Toll Plaza,295.5,Transportation
Swimming Pool Store,439.75,Fitness
Chevron Online,35.82,Fuel
Fitness Center Online,484.9,Fitness
Toll Plaza Online,248.13,Transportation
Online Course #123,349.16,Education
Swimming Pool Store,17.62,Fitness
Book Store Online,55.62,Education
McDonalds #123,259.54,Coffee/Dining
Apollo Pharmacy - Purchase,232.7,Healthcare
Shell Gas Online,256.94,Fuel
Sports Equipment #123,385.93,Fitness
Bus Pass - Purchase,418.31,Transportation
BigBasket #123,14.11,Groceries
Tuition Payment - Purchase,241.99,Education
Hospital - Purchase,34.14,Healthcare
Gas Bill - Purchase,136.76,Utilities
Walmart Online,409.74,Groceries
Whole Foods #123,222.67,Groceries
Toll Plaza,403.38,Transportation
Metro Card - Purchase,320.79,Transportation
Lab Test Store,454.24,Healthcare
Udemy,379.14,Education
School Fee Downtown,217.61,Education
Metro Card #123,259.28,Transportation
Udemy Downtown,31.7,Education
Target Downtown,308.46,Groceries
Fitness Center Online,425.3,Fitness
Bus Pass Downtown,329.63,Transportation
Lunch - Purchase,479.44,Coffee/Dining
Chevron Online,496.57,Fuel
BigBasket,270.09,Groceries
Panera Bread #123,189.72,Coffee/Dining
Dinner,31.84,Coffee/Dining
Dunkin Donuts - Purchase,447.4,Coffee/Dining
Costco Online,492.83,Groceries
Water Bill Downtown,376.31,Utilities
Target - Purchase,397.58,Groceries
Library Online,89.12,Education
Swimming Pool - Purchase,28.94,Fitness
Library Downtown,338.29,Education
Costco Online,92.4,Groceries
Online Course #123,358.92,Education
Amazon - Purchase,216.5,Shopping
PVR Cinemas - Purchase,261.52,Entertainment
Bharat Petroleum Online,448.78,Fuel
Gym Membership Online,166.22,Fitness
Hospital,494.17,Healthcare
Gym Membership Store,102.67,Fitness
Medical Center,14.56,Healthcare
Zara Downtown,9.53,Shopping
Spotify Store,318.4,Entertainment
Lunch Online,219.82,Coffee/Dining
Library - Purchase,325.3,Education
Metro Card,149.89,Transportation
Phone Bill Store,443.34,Utilities
PVR Cinemas - Purchase,379.98,Entertainment
Movie Theater,283.2,Entertainment
Udemy - Purchase,230.57,Education
Gaming Store - Purchase,258.55,Entertainment
Reliance Fresh #123,468.1,Groceries
Movie Theater Store,205.41,Entertainment
Amazon Store,210.52,Shopping
Zara - Purchase,223.59,Shopping
Amazon - Purchase,285.19,Shopping
Lab Test,119.92,Healthcare
Shell Gas Online,329.5,Fuel
Yoga Studio,209.88,Fitness
Medical Center,151.24,Healthcare
Nike Store,375.37,Shopping
Costco Store,315.32,Groceries
Supermarket Store,428.71,Groceries
Coursera #123,416.09,Education
Spotify #123,474.94,Entertainment
Doctor Visit Online,207.29,Healthcare
Movie Theater Downtown,491.24,Entertainment
Zara Store,198.67,Shopping
Metro Card Store,161.71,Transportation
Udemy Online,392.02,Education
BP Station Store,236.56,Fuel
Apple Store #123,299.14,Shopping
H&M #123,354.57,Shopping
Sports Equipment Online,473.1,Fitness
Gas Bill Store,70.33,Utilities
Yoga Studio,259.97,Fitness
School Fee Store,463.36,Education
Concert Ticket Downtown,280.01,Entertainment
HP Petrol Downtown,69.0,Fuel
Grocery Store Downtown,316.48,Groceries
Doctor Visit - Purchase,411.76,Healthcare
H&M #123,214.58,Shopping
Walmart Downtown,397.12,Groceries
PVR Cinemas Online,191.82,Entertainment
Starbucks,94.76,Coffee/Dining
Local Restaurant Store,17.04,Coffee/Dining
Toll Plaza Downtown,227.45,Transportation
Movie Theater #123,246.56,Entertainment
Bus Pass Store,129.3,Transportation
Book Store Store,477.86,Education
Ola Cab Downtown,96.68,Transportation
Bharat Petroleum Downtown,393.75,Fuel
Sports Equipment Store,105.44,Fitness
Dental Clinic #123,253.78,Healthcare
Coursera - Purchase,101.0,Education
Chipotle Online,447.56,Coffee/Dining
Shell Gas,457.85,Fuel
Swimming Pool #123,386.45,Fitness
School Fee #123,337.34,Education
Concert Ticket #123,18.4,Entertainment
Mall Purchase Online,148.58,Shopping
Amazon Prime Downtown,36.72,Entertainment
Reliance Fresh - Purchase,496.65,Groceries
Yoga Studio Online,312.46,Fitness
Electric Bill,178.68,Utilities
Adidas,441.41,Shopping
Water Bill Online,344.12,Utilities
Yoga Studio Downtown,228.73,Fitness
Chipotle Downtown,280.01,Coffee/Dining
Udemy Online,193.02,Education
Lunch #123,407.73,Coffee/Dining
Railway Ticket Online,83.2,Transportation
Mall Purchase Store,411.51,Shopping
Swimming Pool #123,348.81,Fitness
Metro Card Downtown,370.92,Transportation
Best Buy - Purchase,496.27,Shopping
Swimming Pool Downtown,7.97,Fitness
CVS Pharmacy Store,223.85,Healthcare
Railway Ticket Online,30.73,Transportation
Dominos Online,174.18,Coffee/Dining
Pizza Hut - Purchase,90.99,Coffee/Dining
Grocery Store,119.19,Groceries
Yoga Studio #123,129.94,Fitness
BP Station Online,495.75,Fuel
Nike Store #123,314.85,Shopping
Food Court Downtown,169.03,Coffee/Dining
BigBasket Downtown,194.45,Groceries
Toll Plaza Store,164.38,Transportation
Electric Bill,395.3,Utilities
Amazon,456.94,Shopping
Fuel Stop - Purchase,46.74,Fuel
Medical Center Store,131.41,Healthcare
Starbucks #123,80.35,Coffee/Dining
KFC Downtown,163.63,Coffee/Dining
Walmart - Purchase,401.57,Groceries
Local Restaurant Online,422.59,Coffee/Dining
Yoga Studio Store,232.57,Fitness
Phone Bill - Purchase,224.99,Utilities
Online Course Online,368.81,Education
Adidas,44.04,Shopping
H&M,388.61,Shopping
Ola Cab #123,315.28,Transportation
Swimming Pool Store,140.21,Fitness
Yoga Studio Downtown,367.19,Fitness
Starbucks,225.94,Coffee/Dining
Water Bill,363.2,Utilities
Medical Center Store,318.39,Healthcare
Cafe Coffee Day,206.87,Coffee/Dining
BigBasket - Purchase,426.92,Groceries
Amazon,413.59,Shopping
Book Store #123,172.02,Education
Electric Bill - Purchase,356.98,Utilities
Apple Store,45.11,Shopping
Spotify Downtown,190.48,Entertainment
Best Buy - Purchase,161.44,Shopping
Medical Center Downtown,74.56,Healthcare
Bharat Petroleum Downtown,407.64,Fuel
Sports Equipment #123,118.26,Fitness
Whole Foods Store,55.75,Groceries
Metro Card,39.42,Transportation
Local Restaurant,201.93,Coffee/Dining
Indian Oil - Purchase,193.87,Fuel
Concert Ticket - Purchase,11.62,Entertainment
Dinner,261.78,Coffee/Dining
Phone Bill Online,43.94,Utilities
Railway Ticket Store,225.44,Transportation
Water Bill,278.04,Utilities
Walmart Store,375.0,Groceries
Whole Foods - Purchase,387.42,Groceries
Supermarket Downtown,323.31,Groceries
Jio #123,46.99,Utilities
Zara,296.13,Shopping
CVS Pharmacy,449.47,Healthcare
DMart,254.68,Groceries
Sports Equipment,74.36,Fitness
Gym Membership,47.34,Fitness
Phone Bill - Purchase,95.02,Utilities
Parking Fee Online,125.5,Transportation
Apollo Pharmacy #123,233.17,Healthcare
Flipkart Online,434.07,Shopping
Apollo Pharmacy #123,375.78,Healthcare
Yoga Studio Online,80.41,Fitness
Hospital Downtown,451.41,Healthcare
Panera Bread Store,124.34,Coffee/Dining
Gas Station Downtown,400.56,Fuel
Uber Downtown,209.61,Transportation
Hospital Store,181.0,Healthcare
Medical Center #123,338.88,Healthcare
Walgreens #123,140.75,Healthcare
Gas Bill Store,284.76,Utilities
Sports Equipment - Purchase,16.53,Fitness
Apple Store Downtown,261.93,Shopping
Uber - Purchase,328.3,Transportation
Gym Membership Store,72.84,Fitness
Parking Fee Store,393.72,Transportation
Parking Fee Downtown,56.5,Transportation
Toll Plaza Store,356.53,Transportation
Parking Fee Store,362.74,Transportation
Internet Bill Downtown,453.39,Utilities
Lab Test Downtown,493.86,Healthcare
Walgreens,265.87,Healthcare
Walmart Store,183.56,Groceries
Adidas Online,200.77,Shopping
Water Bill #123,428.27,Utilities
Costco Downtown,57.53,Groceries
Dinner #123,317.36,Coffee/Dining
Bharat Petroleum #123,348.4,Fuel
Flipkart,428.14,Shopping
Movie Theater Online,274.86,Entertainment
Airtel Store,234.28,Utilities
Uber - Purchase,438.15,Transportation
Adidas Online,418.31,Shopping
Walgreens - Purchase,75.43,Healthcare
Electric Bill #123,165.7,Utilities
Indian Oil - Purchase,355.12,Fuel
Gas Bill,8.07,Utilities
H&M Downtown,300.72,Shopping
Gas Bill Store,5.9,Utilities
Netflix,398.23,Entertainment
Lunch Store,50.0,Coffee/Dining
Mall Purchase Store,356.26,Shopping
Jio Online,493.6,Utilities
Ola Cab - Purchase,303.23,Transportation
Online Course Store,295.21,Education
Metro Card Downtown,318.54,Transportation
Hospital,411.54,Healthcare
Walgreens Store,91.35,Healthcare
BP Station,93.66,Fuel
BP Station Downtown,496.58,Fuel
Zara,279.29,Shopping
Walgreens - Purchase,19.5,Healthcare
Metro Card Downtown,411.24,Transportation
Swimming Pool Store,249.3,Fitness
Chipotle #123,177.77,Coffee/Dining
Sports Equipment Downtown,150.96,Fitness
HP Petrol Online,293.18,Fuel
Walmart,122.37,Groceries
Coursera #123,464.96,Education
Cafe Coffee Day Store,8.33,Coffee/Dining
Safeway Online,487.15,Groceries
Bharat Petroleum Online,158.35,Fuel
Amazon Downtown,50.68,Shopping
Doctor Visit Store,475.17,Healthcare
AJIO - Purchase,467.99,Shopping
Bharat Petroleum Online,445.14,Fuel
Doctor Visit,480.81,Healthcare
Toll Plaza - Purchase,458.24,Transportation
Bharat Petroleum Downtown,147.84,Fuel
Walgreens Online,378.03,Healthcare
HP Petrol,33.37,Fuel
KFC,345.27,Coffee/Dining
Water Bill,412.01,Utilities
Indian Oil Store,318.02,Fuel
Mall Purchase - Purchase,210.64,Shopping
Tuition Payment Downtown,175.31,Education
HP Petrol Online,292.5,Fuel
Vodafone - Purchase,394.75,Utilities
Chevron Downtown,210.75,Fuel
Bharat Petroleum #123,82.58,Fuel
Dominos Downtown,397.1,Coffee/Dining
Water Bill #123,172.49,Utilities
Doctor Visit Store,473.8,Healthcare
Pizza Hut Online,29.92,Coffee/Dining
Gym Membership,413.93,Fitness
Udemy,270.74,Education
Supermarket,262.95,Groceries
Bharat Petroleum Online,24.84,Fuel
Electric Bill #123,191.22,Utilities
Supermarket #123,241.75,Groceries
DMart Downtown,348.86,Groceries
Fitness Center #123,431.47,Fitness
Bus Pass Online,478.01,Transportation
HP Petrol Downtown,305.19,Fuel
Sports Equipment,179.92,Fitness
Jio #123,276.41,Utilities
Fuel Stop Store,390.31,Fuel
Dinner Online,142.44,Coffee/Dining
Spotify,225.84,Entertainment
BP Station,184.83,Fuel
Ola Cab Downtown,364.24,Transportation
Dominos Store,167.96,Coffee/Dining
Walgreens - Purchase,426.66,Healthcare
Dental Clinic - Purchase,94.63,Healthcare
Water Bill - Purchase,101.22,Utilities
Gym Membership Downtown,149.44,Fitness
Dominos Store,339.12,Coffee/Dining
Lab Test Downtown,378.0,Healthcare
Toll Plaza Store,46.09,Transportation
Uber Downtown,208.97,Transportation
Amazon Prime,417.64,Entertainment
Netflix #123,299.79,Entertainment
Sports Equipment Downtown,62.38,Fitness
Apple Store Store,350.46,Shopping
Dominos,377.12,Coffee/Dining
Toll Plaza Downtown,456.11,Transportation
Ola Cab Store,101.59,Transportation
Swimming Pool,226.83,Fitness
Gas Bill Online,493.33,Utilities
Grocery Store Store,202.23,Groceries
Coursera Online,353.41,Education
Internet Bill #123,370.29,Utilities
Gaming Store,131.89,Entertainment
Udemy Store,301.02,Education
Railway Ticket Downtown,231.72,Transportation
Lab Test #123,362.45,Healthcare
Starbucks Store,91.35,Coffee/Dining
Jio - Purchase,88.49,Utilities
Lab Test #123,422.04,Healthcare
Lyft Online,31.62,Transportation
Medical Center Store,298.76,Healthcare
Flipkart - Purchase,206.0,Shopping
Chipotle Online,411.52,Coffee/Dining
Food Court Downtown,103.53,Coffee/Dining
Concert Ticket Downtown,309.96,Entertainment
Reliance Fresh #123,67.12,Groceries
Supermarket #123,249.2,Groceries
Myntra,459.82,Shopping
Myntra - Purchase,179.75,Shopping
Hospital Store,239.51,Healthcare
Whole Foods Online,288.56,Groceries
Lunch Online,36.57,Coffee/Dining
Gas Station Online,174.47,Fuel
AJIO Downtown,451.96,Shopping
Book Store Downtown,169.51,Education
Concert Ticket - Purchase,412.53,Entertainment
DMart,432.62,Groceries
Railway Ticket Store,257.89,Transportation
Swimming Pool,31.8,Fitness
PVR Cinemas Store,439.79,Entertainment
Railway Ticket Online,5.45,Transportation
Uber Store,103.61,Transportation
Gaming Store - Purchase,410.61,Entertainment
HP Petrol Online,279.63,Fuel
Amazon Prime Downtown,317.67,Entertainment
Gaming Store Store,69.77,Entertainment
Parking Fee Store,200.95,Transportation
School Fee #123,60.2,Education
AJIO #123,212.05,Shopping
Bharat Petroleum,54.97,Fuel
Walmart Store,25.75,Groceries
Spotify Store,213.31,Entertainment
Tuition Payment #123,329.89,Education
Movie Theater Store,220.01,Entertainment
Myntra - Purchase,392.03,Shopping
Dental Clinic - Purchase,101.87,Healthcare
Dominos Downtown,85.6,Coffee/Dining
Indian Oil Online,179.86,Fuel
Parking Fee - Purchase,207.51,Transportation
Sports Equipment Online,238.5,Fitness
Adidas #123,373.33,Shopping
Bharat Petroleum Downtown,125.47,Fuel
Fuel Stop - Purchase,494.38,Fuel
Dental Clinic Downtown,185.34,Healthcare
Lyft Downtown,200.95,Transportation
CVS Pharmacy,256.25,Healthcare
Hospital,18.17,Healthcare
Pizza Hut #123,117.68,Coffee/Dining
Yoga Studio - Purchase,95.84,Fitness
Starbucks #123,450.49,Coffee/Dining
Flipkart Downtown,397.39,Shopping
Sports Equipment #123,75.99,Fitness
Gym Membership - Purchase,391.34,Fitness
Fitness Center Store,164.43,Fitness
Spotify Store,152.36,Entertainment
Railway Ticket #123,222.73,Transportation
Concert Ticket - Purchase,468.19,Entertainment
Local Restaurant Online,388.65,Coffee/Dining
Cafe Coffee Day Downtown,230.49,Coffee/Dining
Best Buy #123,142.5,Shopping
Railway Ticket Online,324.0,Transportation
Dominos Downtown,258.84,Coffee/Dining
Dominos - Purchase,467.54,Coffee/Dining
Best Buy,127.68,Shopping
Indian Oil,374.89,Fuel
Apollo Pharmacy #123,50.41,Healthcare
Book Store,103.97,Education
Uber Downtown,55.13,Transportation
Vodafone - Purchase,75.66,Utilities
HP Petrol - Purchase,273.65,Fuel
Lab Test #123,80.76,Healthcare
Fuel Stop Downtown,452.06,Fuel
Dental Clinic Store,447.83,Healthcare
Doctor Visit - Purchase,147.94,Healthcare
Online Course - Purchase,442.09,Education
Udemy - Purchase,114.79,Education
Netflix - Purchase,362.49,Entertainment
Fuel Stop,418.25,Fuel
Myntra Store,141.3,Shopping
Yoga Studio,408.86,Fitness
Airtel Online,412.89,Utilities
Sports Equipment,195.12,Fitness
Spotify Store,61.43,Entertainment
Flipkart #123,331.74,Shopping
Sports Equipment Online,463.31,Fitness
Gas Bill Downtown,335.7,Utilities
Whole Foods - Purchase,250.02,Groceries
Railway Ticket,109.63,Transportation
Apple Store,299.66,Shopping
Panera Bread - Purchase,88.6,Coffee/Dining
Mall Purchase #123,29.74,Shopping
Phone Bill,375.7,Utilities
Target Online,367.02,Groceries
Fuel Stop Online,146.94,Fuel
Fitness Center Online,163.67,Fitness
Cafe Coffee Day Downtown,17.67,Coffee/Dining
Best Buy - Purchase,436.04,Shopping
Amazon Prime - Purchase,199.14,Entertainment
Udemy Downtown,80.92,Education
Zara #123,12.45,Shopping
CVS Pharmacy Downtown,254.04,Healthcare
Parking Fee Store,467.27,Transportation
Udemy #123,444.17,Education
Supermarket Downtown,493.37,Groceries
Amazon Prime Downtown,349.31,Entertainment
Dinner Store,208.89,Coffee/Dining
Parking Fee #123,104.47,Transportation
Panera Bread Downtown,240.62,Coffee/Dining
Amazon Prime Downtown,453.42,Entertainment
DMart Store,128.15,Groceries
Udemy Store,431.81,Education
Walgreens - Purchase,117.47,Healthcare
HP Petrol - Purchase,114.1,Fuel
Dominos Downtown,133.82,Coffee/Dining
Airtel Store,451.36,Utilities
CVS Pharmacy Online,306.99,Healthcare
Exxon Online,241.32,Fuel
Walmart,428.54,Groceries
Grocery Store - Purchase,349.65,Groceries
Hospital Store,490.97,Healthcare
Shell Gas #123,272.83,Fuel
Fitness Center #123,306.81,Fitness
Parking Fee Store,11.1,Transportation
Coursera - Purchase,457.93,Education
Bus Pass - Purchase,190.73,Transportation
Exxon Downtown,52.31,Fuel
BP Station #123,448.38,Fuel
CVS Pharmacy Store,463.29,Healthcare
Amazon Prime Store,440.58,Entertainment
Panera Bread - Purchase,475.93,Coffee/Dining
School Fee #123,24.95,Education
Swimming Pool #123,453.66,Fitness
H&M - Purchase,223.85,Shopping
Walmart Online,191.79,Groceries
Local Restaurant - Purchase,420.92,Coffee/Dining
Mall Purchase,270.6,Shopping
Chevron,96.51,Fuel
Gym Membership - Purchase,180.33,Fitness
Tuition Payment Store,59.28,Education
Phone Bill - Purchase,42.23,Utilities
BigBasket Downtown,395.51,Groceries
Lab Test #123,281.55,Healthcare
PVR Cinemas - Purchase,22.23,Entertainment
Amazon #123,446.07,Shopping
Apple Store #123,76.21,Shopping
Fitness Center Online,208.95,Fitness
HP Petrol,69.39,Fuel
Chevron Online,364.7,Fuel
Electric Bill Online,245.01,Utilities
Dinner - Purchase,28.78,Coffee/Dining
Apple Store Store,129.19,Shopping
Yoga Studio - Purchase,371.04,Fitness
Chevron #123,159.77,Fuel
Lab Test Store,155.27,Healthcare
Mall Purchase Store,318.34,Shopping
Netflix Online,116.08,Entertainment
H&M,30.23,Shopping
Cafe Coffee Day Downtown,237.66,Coffee/Dining
Book Store Store,489.03,Education
Water Bill Downtown,315.92,Utilities
Coursera,155.95,Education
Medical Center Store,189.19,Healthcare
Bus Pass Online,351.26,Transportation
Concert Ticket Downtown,314.27,Entertainment
Panera Bread Online,163.31,Coffee/Dining
HP Petrol #123,237.4,Fuel
DMart,483.07,Groceries
Book Store,324.97,Education
Concert Ticket #123,480.3,Entertainment
Electric Bill,412.63,Utilities
Online Course,474.37,Education
Gas Station Online,90.05,Fuel
Reliance Fresh Downtown,130.05,Groceries
PVR Cinemas Store,465.28,Entertainment
Railway Ticket,165.16,Transportation
Electric Bill Online,222.03,Utilities
Food Court,138.53,Coffee/Dining
Bharat Petroleum Downtown,31.55,Fuel
Flipkart - Purchase,478.84,Shopping
Target #123,298.49,Groceries
Spotify - Purchase,282.13,Entertainment
Gym Membership Downtown,133.06,Fitness
Indian Oil Store,307.38,Fuel
Indian Oil #123,168.7,Fuel
Gaming Store #123,383.54,Entertainment
Netflix Online,306.63,Entertainment
Indian Oil #123,133.44,Fuel
AJIO - Purchase,264.0,Shopping
Phone Bill Downtown,203.7,Utilities
Electric Bill,234.01,Utilities
Jio Downtown,116.48,Utilities
Movie Theater Store,193.54,Entertainment
Sports Equipment Store,393.17,Fitness
Parking Fee Online,98.78,Transportation
Yoga Studio Online,365.78,Fitness
Dunkin Donuts #123,122.98,Coffee/Dining
Sports Equipment - Purchase,422.32,Fitness
Indian Oil,318.44,Fuel
Tuition Payment #123,304.88,Education
Chevron,490.86,Fuel
KFC,319.92,Coffee/Dining
Parking Fee Store,159.7,Transportation
Cafe Coffee Day,338.97,Coffee/Dining
Fitness Center Online,113.68,Fitness
Sports Equipment Online,331.57,Fitness
Parking Fee Online,224.65,Transportation
Sports Equipment #123,173.85,Fitness
Doctor Visit Online,133.36,Healthcare
Safeway Store,186.45,Groceries
Airtel Store,274.86,Utilities
Udemy - Purchase,225.87,Education
Target Store,456.6,Groceries
KFC Store,9.98,Coffee/Dining
Swimming Pool Downtown,308.06,Fitness
Hospital Store,432.1,Healthcare
Gym Membership - Purchase,379.22,Fitness
Zara,134.17,Shopping
DMart Downtown,483.14,Groceries
KFC Downtown,63.25,Coffee/Dining
Fitness Center - Purchase,21.33,Fitness
AJIO,30.95,Shopping
Doctor Visit Downtown,411.56,Healthcare
Swimming Pool Store,350.74,Fitness
Library Online,361.92,Education
Gas Bill,277.03,Utilities
Tuition Payment Store,101.63,Education
Shell Gas - Purchase,205.77,Fuel
Udemy Store,350.69,Education
Tuition Payment Downtown,347.1,Education
Lyft - Purchase,315.76,Transportation
Swimming Pool,292.94,Fitness
Online Course Store,279.97,Education
Railway Ticket Online,80.66,Transportation
Sports Equipment - Purchase,163.9,Fitness
Fuel Stop - Purchase,379.34,Fuel
Yoga Studio,484.17,Fitness
BP Station Online,363.8,Fuel
Library Online,11.02,Education
Sports Equipment - Purchase,356.14,Fitness
Phone Bill,165.78,Utilities
BP Station Store,169.92,Fuel
Whole Foods Online,303.4,Groceries
Amazon Prime Online,243.27,Entertainment
HP Petrol #123,237.54,Fuel
Apollo Pharmacy #123,266.12,Healthcare
Medical Center,297.29,Healthcare
Water Bill - Purchase,395.4,Utilities
Uber Store,150.39,Transportation
Internet Bill #123,411.26,Utilities
Concert Ticket,483.73,Entertainment
Fuel Stop Online,349.82,Fuel
Dunkin Donuts Store,124.7,Coffee/Dining
Exxon,73.92,Fuel
CVS Pharmacy #123,401.28,Healthcare
Gym Membership,17.66,Fitness
Whole Foods - Purchase,77.34,Groceries
PVR Cinemas Downtown,356.77,Entertainment
Online Course Store,159.06,Education
Phone Bill - Purchase,412.63,Utilities
Chipotle Online,183.32,Coffee/Dining
Coursera Store,461.88,Education
Cafe Coffee Day Online,244.25,Coffee/Dining
Hospital Store,103.92,Healthcare
Amazon Prime - Purchase,139.88,Entertainment
Whole Foods,183.28,Groceries
Amazon,451.98,Shopping
Water Bill #123,239.3,Utilities
Ola Cab Downtown,59.12,Transportation
Movie Theater - Purchase,406.01,Entertainment
Internet Bill #123,488.18,Utilities
Online Course #123,484.21,Education
Grocery Store Downtown,478.3,Groceries
Spotify - Purchase,110.52,Entertainment
Target - Purchase,116.76,Groceries
Walgreens Downtown,389.2,Healthcare
Chevron,141.17,Fuel
Airtel,170.17,Utilities
Spotify Downtown,499.97,Entertainment
School Fee Downtown,378.19,Education
Railway Ticket Online,251.45,Transportation
Online Course Store,203.13,Education
Medical Center #123,136.48,Healthcare
HP Petrol #123,161.03,Fuel
HP Petrol - Purchase,57.86,Fuel
Phone Bill,60.63,Utilities
Sports Equipment #123,10.18,Fitness
Jio,42.44,Utilities
Concert Ticket - Purchase,216.71,Entertainment
H&M Downtown,446.43,Shopping
Doctor Visit Online,50.57,Healthcare
Nike Store Downtown,67.97,Shopping
Shell Gas #123,346.36,Fuel
HP Petrol #123,122.08,Fuel
Tuition Payment,85.95,Education
Netflix,101.35,Entertainment
Bharat Petroleum Downtown,177.21,Fuel
Swimming Pool - Purchase,108.39,Fitness
Fuel Stop,34.98,Fuel
PVR Cinemas,324.79,Entertainment
Target - Purchase,392.55,Groceries
Walmart Online,12.25,Groceries
Apollo Pharmacy,377.8,Healthcare
Bharat Petroleum #123,339.42,Fuel
Fuel Stop Store,152.01,Fuel
DMart Online,92.46,Groceries
Hospital Downtown,429.78,Healthcare
Target,360.62,Groceries
CVS Pharmacy,302.28,Healthcare
Yoga Studio #123,126.97,Fitness
Gas Bill Downtown,407.62,Utilities
Fitness Center Downtown,201.7,Fitness
Library #123,116.12,Education
Udemy,252.88,Education
HP Petrol - Purchase,72.7,Fuel
PVR Cinemas,129.73,Entertainment
Medical Center #123,378.44,Healthcare
Gas Bill Store,282.85,Utilities
Gas Bill #123,284.81,Utilities
Jio Online,375.44,Utilities
Fitness Center #123,242.25,Fitness
Whole Foods #123,239.38,Groceries
Netflix - Purchase,269.53,Entertainment
Fitness Center,337.65,Fitness
Jio Online,191.7,Utilities
Library Store,450.55,Education
Fitness Center Store,476.48,Fitness
Spotify #123,61.94,Entertainment
School Fee - Purchase,262.34,Education
Internet Bill,442.94,Utilities
Apple Store Store,350.56,Shopping
Sports Equipment Online,89.23,Fitness
Toll Plaza - Purchase,310.6,Transportation
Grocery Store,300.5,Groceries
Tuition Payment Online,417.29,Education
Medical Center - Purchase,255.59,Healthcare
Hospital #123,68.1,Healthcare
